active,Source Name,Source Domain,Source Country Code,Source State,Source City,candidate_address_zip,Match Result,Match Type,Best SID,Account,HQ SID,WHQ SID,DHQ SID,Marketing Alias,Street Address,City,State,ZIP,Country Code,Country Name,Domain,name_normalized,marketing_alias_normalized,levenshtein_idx,Source Segment,No Bids (Last 30 Days),Impressions (Last 30 Days),MEI,Revenue Range,Employee Range,Industry,Sub-Industry,Audience,has_ip,Source Segment,custom_attribute
true,ABI Research,abiresearch.com,,,,,match,exact domain,11631023,ABI Research,11631023,11631023,11631023,ABI Research,69 Hamilton Ave Ste 2,Oyster Bay,NY,11771,US,United States,abiresearch.com,abiresearch,abiresearch,0,Business Services,26851,0,269,$10M - $25M,Mid-Market,Business Services,Technical,SMB,true,Business Services,
true,abix,a-bix.com,,,,,match,exact domain,109086928,Abix GmbH,109086928,109086928,109086928,Abix,Seestadtstrasse 27 /18,Wien,,1220,AT,Austria,a-bix.com,abixgmbh,abix,0,Business Services,30,0,0,$1M - $5M,Small,Business Services,General,SMB,true,Business Services,
true,ABS applied biometric Systems GmbH,biometricsys.de,,,,,match,exact domain,77429128,Abs Applied Biometric Systems GmbH,77429128,77429128,77429128,Abs Applied Biometric Systems,Im Bauernbusch 27,Berlin,BE,12355,DE,Germany,biometricsys.de,absappliedbiometricsystemsgmbh,absappliedbiometricsystems,0,Software & Technology,94,0,1,$1 - $1M,Small,Software & Technology,Data & Technical Services,SMB,true,Software & Technology,
true,A&B Technical,grmx.net,,,,,match,soundex suggestion,55088115,Av Technica,55088115,55088115,55088115,Av Technica,233 E Weddell Dr,Sunnyvale,CA,94089,US,United States,avtechnica.com,avtechnica,avtechnica,7,Financial Services,109,0,1,$1 - $1M,Small,Financial Services,Rental & Leasing,SMB,true,Financial Services,
true,Abundo,abundo.se,,,,,match,metaphone name,103031748,Abando GmbH,103031748,103031748,103031748,Abando,Schuppisstrasse 7,St. Gallen,SG,9016,CH,Switzerland,abando.ch,abandogmbh,abando,3,Software & Technology,0,0,0,$5M - $10M,Small,Software & Technology,Data & Technical Services,SMB,true,Software & Technology,
false,ac,ac.uma.es,,,,,no match,duplicate input,,,,,,,,,,,,,,,,,,0,0,0,,,,,,false,,
true,AC,ac.com.pl,,,,,match,exact domain,69321702,Ac SA,69321702,69321702,69321702,Ac SA,42 Pulku Piechoty 50,Bialystok,PD,15-181,PL,Poland,ac.com.pl,acsa,acsa,0,Manufacturing,128,0,1,$50M - $100M,Mid-Market,Manufacturing,Electrical Systems & Equipment,Mid-Market Business,true,Manufacturing,
true,Academy of Economic Studies,avrams.ro,,,,,match,exact name,13395798,Academy of Economic Studies,13395798,13395798,13395798,Academy of Economic Studies,,Bucharest,,,RO,Romania,,academyofeconomicstudies,academyofeconomicstudies,0,Education,0,0,0,,,Education,University,,false,Education,
true,Academy of Fine Art in Krakow,asp.krakow.pl,,,,,match,exact domain,29424172,Akademia Sztuk Pieknych Im. Jana Matejki,29424172,29424172,29424172,Akademia Sztuk Pieknych Im. Jana Matejki,Pl. Jana Matejki 13,Krakow,MA,31-157,PL,Poland,asp.krakow.pl,akademiasztukpieknychim.janamatejki,akademiasztukpieknychim.janamatejki,0,Education,650,0,7,$50M - $100M,Mid-Market,Education,University,Education,true,Education,
false,Academy of Sciences of the Czech Republic,cas.cz,,,,,no match,duplicate match,25330523,Botanicky Ustav Av Cr V. V. I.,97357584,97357584,97357584,Botanicky Ustav Av Cr V. V. I.,Zamek 1,Pruhonice,,25243,CZ,Czech Republic,cas.cz,botanickyustavavcrv.v.i.,botanickyustavavcrv.v.i.,0,Biotech,1214,0,12,$50M - $100M,Mid-Market,Biotech,Research,Mid-Market Business,true,Biotech,
true,Acal BFi,acalbfi.de,,,,,match,exact domain,115065374,Acal Bfi Germany GmbH,115065374,115065374,115065374,Acal Bfi,Oppelner Strasse 5,Groebenzell,,,DE,Germany,acalbfi.de,acalbfigermanygmbh,acalbfi,0,Wholesale Trade,0,0,0,$10M - $25M,Small,Wholesale Trade,Office Equipment & Electronics,,false,Wholesale Trade,
true,ACAM,acam.de,,,,,match,exact domain,67162050,Acam-Messelectronic GmbH,74422483,74422483,67162050,Acam-Messelectronic,Friedrich List Str. 4,Stutensee,BW,76297,DE,Germany,acam.de,acammesselectronicgmbh,acammesselectronic,0,Manufacturing,0,0,0,$500M - $1B,Mid-Market,Manufacturing,Electronic Equipment,Mid-Market Business,true,Manufacturing,
true,AccelaD,accelad.com,,,,,match,exact domain,123514086,Accelad SAS,123514086,123514086,123514086,Accelad,,Toulouse,,31000,FR,France,accelad.com,acceladsas,accelad,0,Software & Technology,14,0,0,,,Software & Technology,Software Applications,SMB,true,Software & Technology,
true,Accelercomm Ltd,accelercomm.com,,,,,match,metaphone name,113803526,Accelero Corporation,113803526,113803526,113803526,Accelero,6440 Myrtlewood Dr,Cupertino,CA,95014,US,United States,accelero-corp.com,accelero,accelero,3,Business Services,32,0,0,$1 - $1M,Small,Business Services,General,SMB,true,Business Services,
true,accelize,accelize.com,,,,,match,exact domain,112320352,Plda Group,112320352,112320352,112320352,Plda,805 Av Jrgg de la Lauziere les Milles,Aix-En-Provence,PAC,13290,FR,France,accelize.com,pldagroup,plda,0,Business Services,108,0,1,$1M - $5M,Small,Business Services,Management Consulting,SMB,true,Business Services,
true,accemic.com,accemic.com,,,,,match,exact domain,111551506,Accemic GmbH & Co KG,111551506,111551506,111551506,Accemic,Franz Huber Str. 39,Kiefersfelden,BY,83088,DE,Germany,accemic.com,accemicgmbhcokg,accemic,0,Software & Technology,82,0,1,$1 - $1M,Small,Software & Technology,Data & Technical Services,SMB,true,Software & Technology,
true,Access IS,access-is.com,,,,,match,exact domain,24808342,Access Ltd,121154008,121154008,121154008,Access,Unit 18 20 Suttons Business Pk Sutton Park Earley,Reading,WOK,RG6 1AZ,GB,United Kingdom,access-is.com,access,access,0,Construction,5817,0,58,$10M - $25M,Small,Construction,Contractors,SMB,true,Construction,
true,ACCO Semiconductor,acco-semi.com,,,,,match,exact domain,65862830,Acco,65862830,65862830,65862830,Acco,36 Rue de la Princesse,Louveciennes,IDF,78430,FR,France,acco-semi.com,acco,acco,0,Business Services,270,0,3,$5M - $10M,Small,Business Services,Technical,SMB,true,Business Services,
true,Accueil  - Minist�re de l'Int�rieur,interieur.gouv.fr,,,,,match,exact domain,25986922,Ministry of Interior,71538750,71538750,71538750,Ministry of Interior,1 Place Beauvau,Paris,IDF,75008,FR,France,interieur.gouv.fr,ministryofinterior,ministryofinterior,0,Government,9021,0,90,,,Government,Administration,Government,true,Government,
true,Acd Antriebstechnik,acd-antriebstechnik.de,,,,,match,exact name,66811347,Acd Antriebstechnik GmbH,29505737,29505737,29505737,Acd Antriebstechnik,Engelberg 2,Achstetten,BW,88480,DE,Germany,acd-group.eu,acdantriebstechnikgmbh,acdantriebstechnik,0,Manufacturing,0,0,0,$1M - $5M,Small,Manufacturing,Electronic Equipment,,false,Manufacturing,
true,ACD Gruppe,acd-elektronik.de,,,,,match,exact domain,29505737,Acd Holding GmbH & Co KG,29505737,29505737,29505737,Acd Holding,Engelberg 2,Achstetten,BW,88480,DE,Germany,acd-elektronik.de,acdholdinggmbhcokg,acdholding,0,Financial Services,0,0,0,$1 - $1M,Small,Financial Services,Banking & Finance,SMB,true,Financial Services,
true,ACE Associated Computer Experts,ace.nl,,,,,match,exact domain,70835943,Ace Associated Computer Experts BV,70835943,70835943,70835943,Ace Associated Computer Experts,Schillingweg 50,Nieuw-Vennep,,2153 PL,NL,Netherlands,ace.nl,aceassociatedcomputerexpertsbv,aceassociatedcomputerexperts,0,Software & Technology,0,0,0,$1M - $5M,Small,Software & Technology,Data & Technical Services,SMB,true,Software & Technology,
true,ACEN,acen.fr,,,,,match,split domain,30001667,ACEN Inc,30001667,30001667,30001667,ACEN,35 Newman Pl,Buffalo,NY,14210,US,United States,acen.com,acen,acen,0,Software & Technology,1061,0,11,$1M - $5M,Small,Software & Technology,Data & Technical Services,SMB,true,Software & Technology,
true,Acer,acer.com.tw,,,,,match,exact domain,114990610,Acer Information Products Group,114990610,114990610,114990610,Acer Information Products,8 Fl 88 Hsin Tai Wu Rd,Hsien,,,TW,Taiwan,acer.com.tw,acerinformationproductsgroup,acerinformationproducts,0,Software & Technology,116,0,1,$250M - $500M,Enterprise,Software & Technology,Data & Technical Services,Mid-Market Business,true,Software & Technology,
true,ACM,acm.org,,,,,match,exact domain,383050,Association For Computing Machinery,114956441,114956441,114956441,Assoc. For Computing Mach.,428 E Preston St,Baltimore,MD,21202,US,United States,acm.org,associationforcomputingmachinery,assoc.forcomputingmach.,0,Associations,0,0,0,$50M - $100M,Small,Associations,Professional,,false,Associations,
true,ACME,boximail.com,,,,,match,split domain,117083869,Acme Earthworks,117083869,117083869,117083869,Acme Earthworks,12100 W Lk Rd,East Springfield,PA,16411-9106,US,United States,acme.com,acmeearthworks,acmeearthworks,0,Construction,13692,0,137,,,Construction,Contractors,SMB,true,Construction,
true,Acme Systems,acmesystems.it,,,,,match,exact domain,123514464,Acme Systems SRL,123514464,123514464,123514464,Acme Systems,,,,,,,acmesystems.it,acmesystemssrl,acmesystems,0,Telecommunications,0,0,0,$5M - $10M,Small,Telecommunications,Equipment & Services,SMB,true,Telecommunications,
false,Acme Systems,montefusco.com,,,,,no match,duplicate input,,,,,,,,,,,,,,,,,,0,0,0,,,,,,false,,
false,Ac Microtec,viketoft.se,,,,,no match,duplicate match,123513498,Åac Microtec AB,123513498,123513498,123513498,Åac Microtec,,Uppsala,,75183,SE,Sweden,aacmicrotec.com,åacmicrotecab,åacmicrotec,2,Aerospace & Defense,0,0,0,$5M - $10M,Small,Aerospace & Defense,Defense Systems,,false,Aerospace & Defense,
true,�AC Microtec,aacmicrotec.com,,,,,match,exact domain,123513498,Åac Microtec AB,123513498,123513498,123513498,Åac Microtec,,Uppsala,,75183,SE,Sweden,aacmicrotec.com,åacmicrotecab,åacmicrotec,0,Aerospace & Defense,0,0,0,$5M - $10M,Small,Aerospace & Defense,Defense Systems,,false,Aerospace & Defense,
true,Acontrol,acontrol.pt,,,,,match,exact domain,73547085,Acontrol - Automaçao E Controle Industrial Lda.,73547085,73547085,73547085,Acontrol - Automaçao E Controle Indus. Lda.,Parque Empresarial De Eiras Lote 5,Coimbra,,3020-265,PT,Portugal,acontrol.pt,acontrolautomaçaoecontroleindustriallda.,acontrolautomaçaoecontroleindus.lda.,0,Construction,0,0,0,$1M - $5M,Small,Construction,Contractors,,false,Construction,
true,ACORDE,acorde.com,,,,,match,exact domain,10389193,Acorde Technologies SA,81536553,68159621,68159621,Acorde Technologies,Calle Albert Einstein,Santander,CB,39011,ES,Spain,acorde.com,acordetechnologiessa,acordetechnologies,0,Biotech,110,0,1,$5M - $10M,Small,Biotech,Research,SMB,true,Biotech,
true,AcQ International,acq.nl,,,,,match,exact domain,68804146,Inducom Systems BV,120327889,120327889,120327889,Inducom Systems,Rijnstraat 20,Oss,,5347 KN,NL,Netherlands,acq.nl,inducomsystemsbv,inducomsystems,0,Manufacturing,0,0,0,$1M - $5M,Small,Manufacturing,Electronic Equipment,SMB,true,Manufacturing,
true,Acra Control,acracontrol.com,,,,,match,exact domain,10741450,ACRA Control Ltd,50534148,9288,10741450,ACRA Control,Landscape House Landscape Road,Dublin,,14,IE,Ireland,acracontrol.com,acracontrol,acracontrol,0,Software & Technology,0,0,0,$1B - $2.5B,Enterprise,Software & Technology,Computer & Mobile Devices,Enterprise Business,true,Software & Technology,
true,Acreo Swedish ICT,acreo.se,,,,,match,exact domain,100313822,Acreo AB,9279003,9279003,9279003,Acreo,Electrum 236,Kista,AB,16440,SE,Sweden,acreo.se,acreoab,acreo,0,Biotech,481,0,5,$500M - $1B,Enterprise,Biotech,Research,Mid-Market Business,true,Biotech,
